PID,word_type,voice,hits,total,hit_rate,fa_rate,cms,wr_accuracy,ir_rt_mean,ir_rt_median,wr_rt_mean,wr_rt_median
270,HL,P,4,6,0.6666666666666666,0.006944444444444444,0.6597222222222222,1.0,1855.75,1863.5,2153.75,1781.5
270,LH,A,5,6,0.8333333333333334,0.006944444444444444,0.826388888888889,1.0,1744.6,1735.0,6588.2,2484.0
270,LH,P,5,6,0.8333333333333334,0.006944444444444444,0.826388888888889,1.0,1798.4,1792.0,2423.2,1903.0
270,LL,A,4,6,0.6666666666666666,0.006944444444444444,0.6597222222222222,0.75,1958.5,1685.0,1352.0,1337.5
270,LL,P,6,6,1.0,0.006944444444444444,0.9930555555555556,1.0,1967.6666666666667,1795.0,868.3333333333334,719.0
273,HH,A,3,6,0.5,0.041666666666666664,0.4583333333333333,1.0,1167.6666666666667,1044.0,1560.0,1360.0
273,HH,P,3,6,0.5,0.041666666666666664,0.4583333333333333,0.6666666666666666,1793.0,1598.0,1124.3333333333333,1269.0
273,HL,A,4,6,0.6666666666666666,0.041666666666666664,0.625,0.5,1096.75,1048.0,789.5,257.5
273,HL,P,5,6,0.8333333333333334,0.041666666666666664,0.7916666666666667,0.4,2118.6,2059.0,414.0,285.0
273,LH,A,4,6,0.6666666666666666,0.041666666666666664,0.625,0.5,1974.0,1513.5,717.5,804.0
273,LH,P,3,6,0.5,0.041666666666666664,0.4583333333333333,0.6666666666666666,2618.3333333333335,2629.0,1215.0,494.0
273,LL,A,4,6,0.6666666666666666,0.041666666666666664,0.625,0.75,1524.0,1390.0,751.25,339.0
